City,Median Age,Male Population,Female Population,Total Population,State
Irvine,34.6,125411,131516,256927,CA
Youngs,37.5,30758,33851,64609,OH
Lake Charles,31.8,35678,40388,76066,LA
Visalia,32.6,63695,66399,130094,CA
Santa Monica,40.6,46732,46487,93219,CA
Tempe,28.8,91350,84476,175826,AZ
Arlington,32.6,191060,197062,388122,TX
Green Bay,32.9,52517,52704,105221,WI
Schaumburg,36.9,35971,39840,75811,IL
Perris,26.9,41623,33336,74959,CA
Meridian,38.0,43353,47400,90753,ID
Spring Hill,45.1,48295,54902,103197,FL
The Woodlands,38.8,56083,63061,119144,TX
Orlando,33.1,130940,139977,270917,FL
Bend,37.3,42294,44723,87017,OR
Chattanooga,36.6,83640,92957,176597,TN
Los Angeles,35.0,1958998,2012898,3971896,CA
Oklahoma City,34.1,309227,322036,631263,OK
San Juan,41.4,155408,186829,342237,PR
Yakima,34.0,45147,48553,93700,WA
Roanoke,36.9,47252,52645,99897,VA
Lafayette,33.5,34313,36857,71170,IN
Warren,43.2,64063,71293,135356,MI
Redding,38.8,42530,49049,91579,CA
Highlands Ranch,39.6,49186,53281,102467,CO
Albuquerque,36.0,273323,285808,559131,NM
San Tan Valley,31.3,40429,42368,82797,AZ
Alexandria,36.6,74989,78522,153511,VA
Jacksonville,24.2,40015,27348,67363,NC
El Monte,37.3,57961,58784,116745,CA
Glendale,42.1,98181,102844,201025,CA
Santa Clarita,38.1,90192,92175,182367,CA
Memphis,34.1,312237,343523,655760,TN
San Ramon,39.1,39221,36911,76132,CA
Hillsboro,35.3,50926,51434,102360,OR
Gaithersburg,35.7,32211,35234,67445,MD
Vista,29.3,50680,50204,100884,CA
Rochester,35.0,54934,57282,112216,MN
Arlington Heights,45.9,37627,39369,76996,IL
Las Vegas,37.5,310568,313201,623769,NV
Turlock,36.2,33190,39103,72293,CA
Pawtucket,39.2,36072,35511,71583,RI
Lawrence,27.4,45592,48324,93916,KS
Chico,29.9,46168,44168,90336,CA
Allen,37.2,51324,46814,98138,TX
Miami,40.4,215840,225149,440989,FL
Naperville,38.5,71365,75794,147159,IL
San Francisco,38.3,439752,425064,864816,CA
Grand Rapids,32.1,95669,99430,195099,MI
Mount Pleasant,42.7,39429,41880,81309,SC
Richardson,35.5,54676,56151,110827,TX
Yuma,33.4,48298,45847,94145,AZ
Aurora,31.7,101964,101751,203715,IL
Lancaster,30.9,80668,80445,161113,CA
Rancho Cordova,33.8,34844,36182,71026,CA
Goodyear,38.6,36711,42292,79003,AZ
Rockville,38.1,31205,35793,66998,MD
Johnson City,38.2,31019,34350,65369,TN
Roseville,38.4,62591,67691,130282,CA
Lakewood,39.9,41523,40069,81592,CA
Davie,40.8,48754,52140,100894,FL
Ames,23.0,33814,31238,65052,IA
Trenton,33.3,42581,41650,84231,NJ
Sunrise,37.7,41471,51235,92706,FL
Odessa,31.2,61119,57861,118980,TX
Pharr,26.9,35242,41293,76535,TX
Milpitas,36.8,40098,37519,77617,CA
McAllen,32.3,68332,71921,140253,TX
Missouri City,37.2,34932,36846,71778,TX
Kissimmee,36.7,33283,35869,69152,FL
Elgin,35.7,54852,56224,111076,IL
Passaic,30.4,36505,34577,71082,NJ
Lawrence,30.8,37464,42776,80240,MA
East Orange,35.5,29995,34967,64962,NJ
Alameda,41.4,37747,40867,78614,CA
South Gate,32.5,47758,48641,96399,CA
Durham,33.2,121153,136445,257598,NC
League City,35.9,49354,48996,98350,TX
Folsom,40.9,41051,35317,76368,CA
Flower Mound,40.2,35200,35824,71024,TX
Vallejo,37.8,58379,62890,121269,CA
Clearwater,47.0,55225,57754,112979,FL
Alafaya,33.5,39504,45760,85264,FL
Virginia Beach,35.4,222684,230061,452745,VA
Stamford,35.4,64941,63936,128877,CT
Gresham,36.7,53866,56716,110582,OR
Palmdale,32.6,76361,81989,158350,CA
Saint Joseph,35.7,37688,38408,76096,MO
Riverside,31.4,160613,161810,322423,CA
Colorado Springs,34.8,225544,231018,456562,CO
Nashville,34.1,314231,340365,654596,TN
Caguas,40.4,34743,42265,77008,PR
Pittsburgh,32.9,149690,154695,304385,PA
Surprise,39.4,62875,65567,128442,AZ
Louisville/Jefferson County metro government,37.5,298451,316938,615389,KY
Federal Way,36.4,49151,46037,95188,WA
Downey,37.3,53006,61205,114211,CA
Grand Prairie,33.1,90811,96944,187755,TX
Evansville,38.0,57198,60481,117679,IN
Roswell,38.8,48637,45859,94496,GA
Irving,32.3,117189,119428,236617,TX
Tracy,35.5,43156,43937,87093,CA
Manchester,37.3,54845,55378,110223,NH
Town 'n' Country,38.1,39410,39586,78996,FL
Chula Vista,34.6,131485,134269,265754,CA
Waukesha,35.8,36263,35713,71976,WI
Lee's Summit,36.8,48353,46715,95068,MO
Aurora,34.2,177899,180971,358870,CO
Newport News,32.8,88385,94000,182385,VA
Wilmington,36.4,32680,39277,71957,DE
Weston,38.6,32956,36991,69947,FL
Concord,35.7,42732,44961,87693,NC
Abilene,31.3,65212,60664,125876,TX
Bismarck,38.0,34675,35565,70240,ND
Lawton,31.1,51099,45560,96659,OK
Deerfield Beach,41.4,37155,42614,79769,FL
Medford,38.6,39606,40189,79795,OR
North Richland Hills,39.9,35257,33948,69205,TX
Miramar,36.6,66157,70958,137115,FL
Rochester Hills,41.2,36356,37076,73432,MI
Lewisville,31.6,52776,52032,104808,TX
Manteca,35.3,37053,38397,75450,CA
New Rochelle,40.6,38871,40967,79838,NY
Bloomington,35.1,37972,40323,78295,IL
